"time","http_get_count","http_post_count","http_get_avg_ms","http_get_max_ms","http_post_avg_ms","http_post_max_ms","system_cpu_percent","process_cpu_percent","total_memory_used_mib","total_memory_committed_mib"
2022-05-12 10:17:30,0.0667,472,38.1,60.7,59.7,1322,82.2,24.9,466,526
2022-05-12 10:17:45,0.0667,591,44.5,54.4,161,1322,84.4,27.3,481,612
2022-05-12 10:18:00,0.0667,645,49.0,54.4,249,1322,84.1,28.1,472,612
2022-05-12 10:18:15,0.0667,646,46.0,54.4,318,1322,84.6,29.4,527,612
2022-05-12 10:18:30,0.0667,637,46.0,54.4,324,1119,86.8,31.4,480,612
2022-05-12 10:18:45,0.0667,628,49.6,54.4,327,1224,88.1,31.6,545,612
2022-05-12 10:19:00,0.0667,624,50.5,54.4,328,1224,87.5,31.7,502,612
2022-05-12 10:19:15,0.0667,621,50.8,54.4,329,1274,87.9,34.2,529,612
2022-05-12 10:19:30,0.0667,618,50.0,54.4,331,1274,88.8,35.1,539,612
2022-05-12 10:19:45,0.0667,611,51.3,54.4,335,1274,88.1,34.5,513,612
2022-05-12 10:20:00,0.0667,604,52.4,54.4,339,1274,89.1,35.8,515,612
2022-05-12 10:20:15,0.0667,592,53.9,56.5,346,1410,90.7,36.4,538,612
2022-05-12 10:20:30,0.0667,585,55.4,56.6,351,1410,90.2,36.7,526,612
2022-05-12 10:20:45,0.0667,577,54.6,56.6,358,1410,90.3,38.4,524,612
2022-05-12 10:21:00,0.0667,572,52.7,56.6,360,1410,90.4,39.8,539,612
2022-05-12 10:21:15,0.0667,564,51.6,56.6,365,1410,90.7,38.1,544,612
2022-05-12 10:21:30,0.0667,557,52.4,56.6,364,1527,91.6,38.9,518,612
2022-05-12 10:21:45,0.0667,558,54.1,56.6,364,1527,91.8,41.0,534,612
2022-05-12 10:22:00,0.0667,557,54.1,56.6,361,1527,92.3,41.2,527,612
2022-05-12 10:22:15,0.0667,560,54.2,56.6,360,1527,92.6,41.6,545,612
2022-05-12 10:22:30,0.0667,558,53.2,56.6,360,1527,93.4,42.1,544,612
2022-05-12 10:22:45,0.0667,549,55.3,59.9,358,1527,93.1,42.5,544,612
2022-05-12 10:23:00,0.0667,540,56.1,59.9,360,1527,89.1,39.0,546,612
2022-05-12 10:23:15,0.0667,555,54.0,59.9,359,1527,91.0,39.7,535,612
2022-05-12 10:23:30,0.0667,566,52.2,59.9,360,1621,92.3,42.4,550,612
2022-05-12 10:23:45,0.0667,577,52.7,59.9,359,1621,93.9,41.8,546,612
